
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
国鉄113系電車||1025||1025||4||4||0.003902439024390244||0.003902439024390244
MOTHER3||1024||1024||0||0||0.0||0.0
内村プロデュース||1021||1021||1||1||9.794319294809011E-4||9.794319294809011E-4
堀江由衣||1019||1019||2||2||0.001962708537782139||0.001962708537782139
スーパーロボット大戦シリーズ||1018||1018||3||3||0.0029469548133595285||0.0029469548133595285
常磐線||1016||1016||0||0||0.0||0.0
ひぐらしのなく頃に||1015||1015||12||12||0.011822660098522168||0.011822660098522168
Mr.FULLSWING||1013||1013||2||2||0.0019743336623889436||0.0019743336623889436
HUNTER×HUNTER||1010||1010||4||4||0.0039603960396039604||0.0039603960396039604
日本共産党||1002||1002||4||4||0.003992015968063872||0.003992015968063872
コードギアス 反逆のルルーシュ/log20080407||1002||1002||2||2||0.001996007984031936||0.001996007984031936
世界平和統一家庭連合||997||997||7||7||0.007021063189568706||0.007021063189568706
声優||995||995||4||4||0.004020100502512563||0.004020100502512563
24時間テレビ 「愛は地球を救う」/history20160321||995||995||11||11||0.011055276381909548||0.011055276381909548
NHK紅白歌合戦||994||994||1||1||0.001006036217303823||0.001006036217303823
新幹線||985||985||2||2||0.0020304568527918783||0.0020304568527918783
東急田園都市線||980||980||5||5||0.00510204081632653||0.00510204081632653
L'Arc〜en〜Ciel||976||976||1||1||0.0010245901639344263||0.0010245901639344263
同姓同名||975||975||1||1||0.0010256410256410256||0.0010256410256410256
ハロー!プロジェクト||970||970||3||3||0.003092783505154639||0.003092783505154639
2ちゃんねるの歴史||970||970||6||6||0.006185567010309278||0.006185567010309278
2005年日本国際博覧会||967||967||3||3||0.0031023784901758012||0.0031023784901758012
頭文字D||964||964||2||2||0.002074688796680498||0.002074688796680498
小池徹平||963||963||1||1||0.0010384215991692627||0.0010384215991692627
ポルノグラフィティ||963||963||1||1||0.0010384215991692627||0.0010384215991692627
新日本プロレス/history20160321||962||962||2||2||0.002079002079002079||0.002079002079002079
本田技研工業||962||962||2||2||0.002079002079002079||0.002079002079002079
テイルズ オブ デスティニー||956||956||1||1||0.0010460251046025104||0.0010460251046025104
ポケットモンスターSPECIAL||954||954||4||4||0.0041928721174004195||0.0041928721174004195
野村克也||954||954||2||2||0.0020964360587002098||0.0020964360587002098
