"Date","Google","Yahoo!","bing","Baidu","Ask Jeeves","Naver","Babylon","DuckDuckGo","MSN","Haosou","Conduit","YANDEX RU","Other"
2013-10,62.77,33.64,2.37,0.25,0.5,0.04,0.12,0.02,0,0.04,0.04,0.01,0.21
2013-11,62.37,33.85,2.54,0.25,0.6,0.03,0.1,0.01,0,0.04,0.04,0.01,0.18
2013-12,60.34,36.35,2.48,0.22,0.32,0.03,0,0.01,0,0.04,0.04,0.01,0.19
2014-01,62.49,34.33,2.62,0.22,0.09,0.03,0,0.01,0,0.03,0.03,0.01,0.15
2014-02,62.32,34.55,2.57,0.24,0.08,0.02,0,0.01,0,0.03,0.02,0.01,0.13
2014-03,60.43,36.61,2.3,0.22,0.1,0.02,0,0.02,0,0.03,0.02,0.01,0.25
2014-04,61.84,35.27,2.33,0.21,0.12,0.02,0,0.02,0,0.03,0.02,0.01,0.14
2014-05,62.54,34.52,2.44,0.19,0.12,0.02,0,0.03,0,0.01,0.02,0.01,0.11
2014-06,63.81,32.95,2.76,0.2,0.1,0.03,0,0.03,0,0.01,0.01,0.01,0.11
2014-07,62.73,34.14,2.62,0.21,0.1,0.03,0,0.01,0,0.03,0.01,0.01,0.1
2014-08,62.13,34.71,2.62,0.2,0.12,0.02,0,0.01,0,0.08,0.01,0.01,0.1
2014-09,61.24,35.52,2.7,0.21,0.13,0.02,0,0.02,0,0.06,0,0.01,0.09
2014-10,60.33,36.67,2.48,0.2,0.12,0.02,0,0.02,0,0.06,0,0.01,0.09
2014-11,58.54,38.46,2.46,0.21,0.14,0.02,0,0.02,0,0.05,0,0.01,0.09
2014-12,57.08,40.03,2.37,0.21,0.15,0.02,0,0.01,0,0.04,0,0.01,0.08
2015-01,59.06,37.85,2.54,0.24,0.14,0.03,0,0.02,0,0.02,0,0.01,0.09
2015-02,58.43,38.38,2.6,0.29,0.14,0.02,0,0.02,0,0.03,0,0.01,0.08
2015-03,58.8,38.12,2.51,0.24,0.15,0.02,0,0.03,0,0.04,0,0.01,0.08
2015-04,58.55,38.55,2.47,0.16,0.1,0.02,0,0.04,0.01,0.04,0,0.01,0.06
2015-05,58.51,38.77,2.31,0.15,0.09,0.02,0,0.03,0.01,0.04,0,0.01,0.06
2015-06,58.21,39.02,2.38,0.18,0.06,0.02,0,0.03,0,0.04,0,0.01,0.05
2015-07,56.67,40.49,2.44,0.18,0.05,0.02,0,0.02,0,0.04,0,0.01,0.06
2015-08,60.46,36.6,2.52,0.21,0.05,0.02,0,0.03,0.01,0.03,0,0.01,0.05
2015-09,62.02,35.27,2.3,0.21,0.05,0.02,0,0.04,0.01,0.02,0,0.01,0.05
2015-10,63.72,33.93,1.99,0.18,0.05,0.02,0,0.04,0,0.01,0,0.01,0.04
2015-11,63.5,34.18,1.96,0.19,0.04,0.02,0,0.04,0,0.01,0,0.01,0.04
2015-12,62.23,34.79,2.59,0.21,0.03,0.03,0,0.04,0.01,0.01,0,0.01,0.05
2016-01,62.82,33.66,3.08,0.23,0.03,0.05,0,0.04,0,0.02,0,0.01,0.06
2016-02,63.24,33.44,2.88,0.24,0.04,0.04,0,0.04,0,0.01,0,0.02,0.05
2016-03,63.25,33.49,2.86,0.23,0.03,0.03,0,0.04,0.01,0.02,0,0.02,0.04
2016-04,62.46,33.63,3.49,0.24,0.03,0.03,0,0.04,0.01,0.03,0,0.02,0.03
2016-05,60.86,34.56,4.15,0.27,0.02,0.03,0,0.03,0,0.02,0,0.02,0.03
2016-06,66.02,28.85,4.48,0.4,0.03,0.05,0,0.05,0.01,0.02,0,0.04,0.05
2016-07,67.75,27.66,3.89,0.45,0.03,0.06,0,0.06,0.01,0.02,0,0.04,0.05
2016-08,66.34,29.34,3.69,0.41,0.02,0.05,0,0.05,0.01,0.02,0,0.03,0.04
2016-09,66.18,29.56,3.68,0.37,0.02,0.04,0,0.04,0.01,0.02,0,0.03,0.04
2016-10,66.85,28.74,3.74,0.44,0.02,0.03,0,0.05,0.01,0.03,0,0.03,0.05
2016-11,68.56,27.23,3.53,0.45,0.02,0.04,0,0.05,0.01,0.03,0,0.03,0.06
2016-12,69.08,26.35,3.67,0.56,0.03,0.03,0,0.05,0.01,0.03,0,0.07,0.12
2017-01,66.73,28.85,3.62,0.51,0.02,0.03,0,0.05,0.01,0.02,0,0.07,0.08
2017-02,68.48,26.24,4.48,0.55,0.02,0.04,0,0.06,0.01,0.02,0,0.03,0.07
2017-03,67.97,26.84,4.46,0.5,0.01,0.04,0,0.07,0.01,0.01,0,0.03,0.05
2017-04,67.36,27.21,4.69,0.51,0.01,0.05,0,0.07,0.02,0.02,0,0.03,0.05
2017-05,66.25,27.51,4.61,0.52,0.01,0.06,0,0.06,0.91,0.02,0,0.02,0.04
2017-06,66.23,28.67,4.44,0.43,0.01,0.06,0,0.07,0.02,0.02,0,0.02,0.03
2017-07,67.72,27.88,3.73,0.45,0.01,0.05,0,0.07,0.02,0.02,0,0.02,0.04
2017-08,67.53,28.74,3.07,0.41,0.01,0.05,0,0.08,0.03,0.02,0,0.02,0.04
2017-09,67.03,29.16,3.16,0.41,0.01,0.05,0,0.08,0.03,0.02,0,0.02,0.04
2017-10,68.1,28.06,3.16,0.44,0.01,0.05,0,0.08,0.03,0.02,0,0.02,0.04
2017-11,68.73,27.13,3.37,0.5,0.01,0.08,0,0.07,0.03,0.02,0,0.02,0.05
2017-12,70.19,25.37,3.6,0.52,0,0.08,0,0.09,0.05,0.02,0,0.02,0.05
2018-01,68.92,26.61,3.63,0.52,0.01,0.09,0,0.09,0.04,0.02,0,0.02,0.06
2018-02,69.79,25.92,3.53,0.44,0.01,0.1,0,0.08,0.04,0.01,0,0.02,0.07
2018-03,70.12,25.15,4.13,0.32,0.01,0.08,0,0.09,0.01,0.02,0,0.02,0.06
2018-04,70.45,24.26,4.48,0.51,0,0.07,0,0.1,0,0.02,0,0.03,0.07
2018-05,70.31,24.03,4.78,0.58,0.01,0.06,0,0.1,0.01,0.01,0,0.03,0.09
2018-06,71.22,23.09,4.86,0.5,0.01,0.06,0,0.1,0.04,0.01,0,0.03,0.09
2018-07,72,22.68,4.5,0.45,0.01,0.07,0,0.09,0.07,0.01,0,0.02,0.09
2018-08,72.15,23.16,3.84,0.46,0.01,0.07,0,0.1,0.08,0.02,0,0.03,0.09
2018-09,74.35,22.8,2.09,0.31,0.01,0.12,0,0.11,0.09,0.02,0,0.03,0.07
2018-10,74.68,22.34,2.23,0.33,0,0.06,0,0.12,0.12,0.02,0,0.03,0.07
2018-11,74.99,21.8,2.42,0.34,0,0.06,0,0.13,0.14,0.02,0,0.03,0.07
2018-12,74.42,22.36,2.41,0.34,0,0.05,0,0.16,0.13,0.02,0,0.04,0.07
2019-01,74.92,21.92,2.33,0.37,0,0.06,0,0.17,0.11,0.02,0,0.04,0.06
2019-02,75.09,22,2.17,0.34,0,0.04,0,0.15,0.09,0.01,0,0.04,0.06
2019-03,75.25,21.78,2.26,0.32,0,0.04,0,0.16,0.09,0.01,0,0.03,0.06
2019-04,75.71,20.57,2.95,0.37,0,0.04,0,0.15,0.09,0.01,0,0.03,0.07
2019-05,75.31,20.91,3.05,0.35,0,0.04,0,0.16,0.08,0.01,0,0.03,0.07
2019-06,0,0,0,0,0,0,0,0,0,0,0,0,0
